repo,review_order_in_repo,category,file,confidence,score
self,6,evaluation,etc/tests/TestHiltonNLC_questions.csv,medium,3
shifu,1,arch_overview,docs/README.md,high,8
shifu,2,views,docs/design/README.md,low,2
shifu,3,quality,examples/lwM2MDeviceShifuWithSecurity/lwM2M/lwm2m-deviceshifu-service.yaml,medium,3
shifu,4,stakeholders,docs/design/shifu-framework/telemetry-service-TDEngine.md,low,1
shifu,5,deployment,pkg/k8s/crd/Dockerfile,high,6
shifu,6,interface,docs/WOT_technical.md,low,1
shifu,7,evaluation,docs/design/shifu-framework/telemetry-secret.md,low,1
simpleiot,1,arch_overview,docs/adr/README.md,high,8
simpleiot,2,context,test/README.md,medium,4
simpleiot,3,views,docs/diagrams.drawio,high,7
simpleiot,4,adrs,docs/adr/README.md,medium,5
simpleiot,5,quality,docs/ref/security.md,high,7
simpleiot,6,stakeholders,docs/adr/1-consider-changing-point-data-type.md,low,1
simpleiot,7,deployment,docs/ref/api.md,low,1
simpleiot,8,interface,docs/ref/api.md,medium,4
sleepkit,1,arch_overview,README.md,high,7
sleepkit,2,views,docs/assets/tasks/sleepkit-task-diagram.svg,medium,4
sleepkit,3,quality,docs/tasks/stage.md,low,1
sleepkit,4,deployment,README.md,low,1
sleepkit,5,interface,sleepkit/backends/GenericDataOperations_EvbToPc/interface.py,medium,3
sleepkit,6,evaluation,tests/__init__.py,medium,3
smart-social-distancing,1,arch_overview,README.md,high,7
smart-social-distancing,2,quality,README.md,low,1
smart-social-distancing,3,stakeholders,README.md,low,1
smart-social-distancing,4,deployment,docker-compose.yml,medium,3
smart-social-distancing,5,interface,README.md,low,1
smart-social-distancing,6,evaluation,api/tests/README.md,medium,4
supermq,1,arch_overview,README.md,high,7
supermq,2,context,CONTRIBUTING.md,very_low,-2
supermq,3,quality,README.md,low,1
supermq,4,stakeholders,apidocs/openapi/channels.yaml,low,0
supermq,5,deployment,docker/Dockerfile,medium,3
supermq,6,interface,apidocs/openapi/auth.yaml,high,6
supermq,7,evaluation,auth/README.md,low,1
tflite_beam,1,arch_overview,README.md,high,7
tflite_beam,2,interface,CHANGELOG.md,very_low,-4
tflite_elixir,1,arch_overview,README.md,high,7
thin-edge.io,1,arch_overview,README.md,high,7
thin-edge.io,2,context,mk/README.md,medium,4
thin-edge.io,3,views,docs/src/understand/images/simple-device-model.svg,medium,4
thin-edge.io,4,adrs,design/decisions/0001.md,low,0
thin-edge.io,5,quality,docs/src/operate/security/certificate-signing-request.md,medium,4
thin-edge.io,6,stakeholders,docs/src/references/software-management-plugin-api.md,low,1
thin-edge.io,7,deployment,kubernetes/README.md,medium,4
thin-edge.io,8,interface,docs/src/operate/entity-management/mqtt_api.md,medium,4
tokay-lite-sdk,1,arch_overview,webserver/CMakeLists.txt,very_low,-2
trusted-connector,1,arch_overview,README.md,high,7
trusted-connector,2,context,ids-container-manager/src/main/proto/guestos.proto,low,0
trusted-connector,3,quality,Dockerfile,low,0
trusted-connector,4,deployment,Dockerfile,medium,3
trusted-connector,5,interface,ids-container-manager/src/main/proto/common/logf.proto,medium,3
trusted-connector,6,evaluation,examples/src/main/resources/example-ids-multipart-uc/README.md,low,1
viseron,1,arch_overview,docs/README.md,high,8
viseron,2,views,docs/static/img/logos/codeprojectai.png,low,1
viseron,3,quality,docs/docs/documentation/configuration/authentication.md,low,1
viseron,4,deployment,azure-pipelines/docker-compose-build.yaml,medium,3
viseron,5,interface,docs/docs/documentation.md,low,1
viseron,6,evaluation,tests/components/webserver/api/v1/test_profile.py,high,6
xsai,1,arch_overview,docs/components.json,low,1
xsai,2,deployment,CONTRIBUTING.md,very_low,-2
xsai,3,interface,README.md,low,1
yomo,1,arch_overview,README.md,high,7
yomo,2,views,docs/images/yomo-logo.png,medium,4
yomo,3,quality,README.md,low,1
yomo,4,stakeholders,CODE_OF_CONDUCT.md,very_low,-2
yomo,5,deployment,Dockerfile,medium,3
yomo,6,interface,docs/api-ref/openapi.yaml,high,7
yomo,7,evaluation,README.md,low,1
zilla,1,arch_overview,README.md,high,7
zilla,2,views,specs/binding-http.spec/src/main/scripts/io/aklivity/zilla/specs/binding/http/streams/application/rfc7230/architecture/request.and.response/client.rpt,low,0
zilla,3,quality,SECURITY.md,high,6
zilla,4,stakeholders,README.md,low,1
zilla,5,deployment,cloud/helm-chart/src/main/helm/zilla/README.md,medium,4
zilla,6,interface,examples/openapi.asyncapi.kakfa.proxy/compose.yaml,high,6
zilla,7,evaluation,cloud/helm-chart/src/main/helm/zilla/templates/tests/test-connection.yaml,medium,3
ztachip,1,arch_overview,README.md,high,7
ztachip,2,quality,Documentation/PortProcedure.md,low,0
ztachip,3,interface,README.md,low,1
ztachip,4,evaluation,Documentation/HardwareDesign.md,low,0
